id	pop
ac_norway_072	norway
ac_norway_073	norway
ac_norway_074	norway
ac_norway_075	norway
ac_norway_076	norway
ac_norway_077	norway
ac_norway_078	norway
ac_norway_079	norway
ac_norway_080	norway
ac_norway_081	norway
ac_norway_082	norway
ac_norway_083	norway
ac_norway_084	norway
ac_norway_085	norway
ac_norway_086	norway
ac_norway_087	norway
ac_norway_088	norway
ac_norway_089	norway
ac_norway_090	norway
ac_norway_091	norway
ac_norway_092	norway
ac_norway_093	norway
ac_norway_094	norway
ac_norway_095	norway
ac_norway_096	norway
ac_norway_097	norway
ac_norway_098	norway
ac_norway_099	norway
ac_norway_100	norway
ac_norway_101	norway
ac_norway_102	norway
ac_norway_103	norway
ac_norway_104	norway
ac_norway_105	norway
ac_norway_106	norway
ac_norway_107	norway
ac_norway_108	norway
ac_norway_109	norway
ac_norway_110	norway
ac_norway_111	norway
ac_norway_112	norway
ac_norway_113	norway
ac_norway_114	norway
ac_norway_115	norway
ac_norway_116	norway
ac_norway_117	norway
ac_norway_118	norway
ac_norway_119	norway
ac_norway_120	norway
ac_norway_121	norway
ac_norway_122	norway
ac_norway_123	norway
ac_norway_124	norway
ac_norway_125	norway
ac_norway_126	norway
ac_norway_127	norway
ac_norway_128	norway
ac_norway_129	norway
ac_norway_130	norway
ac_norway_131	norway
ac_norway_132	norway
ac_norway_133	norway
ac_norway_134	norway
ac_norway_135	norway
ac_norway_136	norway
ac_norway_137	norway
ac_norway_138	norway
ac_norway_139	norway
ac_norway_140	norway
ac_norway_141	norway
ac_norway_142	norway
ac_norway_143	norway
ac_norway_144	norway
ac_norway_145	norway
ac_norway_146	norway
ac_norway_147	norway
ac_norway_148	norway
ac_norway_149	norway
ac_norway_150	norway
ac_norway_151	norway
ac_norway_152	norway
ac_norway_153	norway
ac_norway_154	norway
ac_norway_155	norway
ac_norway_156	norway
ac_norway_157	norway
ac_norway_158	norway
ac_norway_159	norway
ac_norway_160	norway
ac_norway_161	norway
ac_norway_162	norway
ac_norway_163	norway
ac_norway_164	norway
AC_yc2013_82_sweden	sweden
AC_yc2013_83_sweden	sweden
AC_yc2013_84_sweden	sweden
AC_yc2013_85_sweden	sweden
AC_yc2013_86_sweden	sweden
AC_yc2013_87_sweden	sweden
AC_yc2013_88_sweden	sweden
AC_yc2013_89_sweden	sweden
AC_yc2013_90_sweden	sweden
AC_yc2013_91_sweden	sweden
AC_yc2013_92_sweden	sweden
AC_yc2013_93_sweden	sweden
AC_yc2013_94_sweden	sweden
AC_yc2013_95_sweden	sweden
AC_yc2013_96_sweden	sweden
AC_yc2013_97_sweden	sweden
