id	pop
ac_norway_062	Norway
ac_norway_063	Norway
ac_norway_064	Norway
ac_norway_065	Norway
ac_norway_066	Norway
ac_norway_067	Norway
ac_norway_068	Norway
ac_norway_069	Norway
ac_norway_070	Norway
ac_norway_071	Norway
ac_norway_072	Norway
ac_norway_073	Norway
ac_norway_074	Norway
ac_norway_075	Norway
ac_norway_076	Norway
ac_norway_077	Norway
ac_norway_078	Norway
ac_norway_079	Norway
ac_norway_080	Norway
ac_norway_081	Norway
ac_norway_082	Norway
ac_norway_083	Norway
ac_norway_084	Norway
ac_norway_085	Norway
ac_norway_086	Norway
ac_norway_087	Norway
ac_norway_088	Norway
ac_norway_089	Norway
ac_norway_090	Norway
ac_norway_091	Norway
ac_norway_092	Norway
ac_norway_093	Norway
ac_norway_094	Norway
ac_norway_095	Norway
ac_norway_096	Norway
ac_norway_097	Norway
ac_norway_098	Norway
ac_norway_099	Norway
ac_norway_100	Norway
ac_norway_101	Norway
ac_norway_102	Norway
ac_norway_103	Norway
ac_norway_104	Norway
ac_norway_105	Norway
ac_norway_106	Norway
ac_norway_107	Norway
ac_norway_108	Norway
ac_norway_109	Norway
ac_norway_110	Norway
ac_norway_111	Norway
ac_norway_112	Norway
ac_norway_113	Norway
ac_norway_114	Norway
ac_norway_115	Norway
ac_norway_116	Norway
ac_norway_117	Norway
ac_norway_118	Norway
ac_norway_119	Norway
ac_norway_120	Norway
ac_norway_121	Norway
ac_norway_122	Norway
ac_norway_123	Norway
ac_norway_124	Norway
ac_norway_125	Norway
ac_norway_126	Norway
ac_norway_127	Norway
ac_norway_128	Norway
ac_norway_129	Norway
ac_norway_130	Norway
ac_norway_131	Norway
ac_norway_132	Norway
ac_norway_133	Norway
ac_norway_134	Norway
ac_norway_135	Norway
ac_norway_136	Norway
ac_norway_137	Norway
ac_norway_138	Norway
ac_norway_139	Norway
ac_norway_140	Norway
ac_norway_141	Norway
ac_norway_142	Norway
ac_norway_143	Norway
ac_norway_144	Norway
ac_norway_145	Norway
ac_norway_146	Norway
ac_norway_147	Norway
ac_norway_148	Norway
ac_norway_149	Norway
ac_norway_150	Norway
ac_norway_151	Norway
ac_norway_152	Norway
ac_norway_153	Norway
ac_norway_154	Norway
ac_norway_155	Norway
ac_norway_156	Norway
ac_norway_157	Norway
ac_norway_158	Norway
ac_norway_159	Norway
ac_norway_160	Norway
ac_norway_161	Norway
ac_norway_162	Norway
ac_norway_163	Norway
ac_norway_164	Norway
AC_yc2013_82_sweden	Sweden
AC_yc2013_83_sweden	Sweden
AC_yc2013_84_sweden	Sweden
AC_yc2013_85_sweden	Sweden
AC_yc2013_86_sweden	Sweden
AC_yc2013_87_sweden	Sweden
AC_yc2013_88_sweden	Sweden
AC_yc2013_89_sweden	Sweden
AC_yc2013_90_sweden	Sweden
AC_yc2013_91_sweden	Sweden
AC_yc2013_92_sweden	Sweden
AC_yc2013_93_sweden	Sweden
AC_yc2013_94_sweden	Sweden
AC_yc2013_95_sweden	Sweden
AC_yc2013_96_sweden	Sweden
AC_yc2013_97_sweden	Sweden
